1999,8050
2000,8407
2001,9496
2002,11920
2003,12940
2004,13756
2005,14918
2006,17545
2007,18516
2008,19582
2009,20422
2010,21089
2011,22784
2012,23166
2013,25052
2014,28647
2015,33091
2016,42249
